城市,日期,最高温度,最低温度,白天天气状况,晚间天气状况,风向,风力,风速(公里/小时),相对湿度,降水量,紫外线强度指数,能见度(公里)
赤峰,2020-01-09,-1,-11,晴,晴,西风,3-4,16,73,0.0,2,25
赤峰,2020-01-10,-1,-14,晴,晴,东风,1-2,4,64,0.0,2,25
鄂尔多斯,2020-01-04,2,-7,多云,小雪,南风,3-4,23,66,0.0,1,25
鄂尔多斯,2020-01-05,-2,-6,大雪,多云,南风,3-4,16,96,0.0,1,2
鄂尔多斯,2020-01-06,-3,-8,多云,多云,东北风,3-4,18,82,0.0,1,24
鄂尔多斯,2020-01-07,-4,-9,小雪,多云,东南风,3-4,15,96,0.0,1,5
鄂尔多斯,2020-01-08,-4,-10,多云,多云,南风,3-4,17,95,0.0,2,9
鄂尔多斯,2020-01-09,-4,-11,多云,多云,南风,3-4,21,95,0.0,1,3
鄂尔多斯,2020-01-10,-2,-9,多云,中雪,北风,3-4,19,95,0.0,1,5
巴彦淖尔,2020-01-04,0,-11,晴,多云,东南风,3-4,14,81,0.0,3,25
巴彦淖尔,2020-01-05,-2,-9,小雪,多云,东北风,1-2,5,72,0.0,1,24
巴彦淖尔,2020-01-06,-3,-13,多云,多云,东风,1-2,9,76,0.0,1,25
巴彦淖尔,2020-01-07,-5,-15,多云,多云,东风,1-2,2,96,0.0,1,3
巴彦淖尔,2020-01-08,-4,-15,晴,晴,西南风,1-2,10,96,0.0,2,9
巴彦淖尔,2020-01-09,-2,-14,晴,晴,东风,1-2,9,88,0.0,1,24
巴彦淖尔,2020-01-10,-4,-14,多云,多云,东风,1-2,3,95,0.0,1,4
锡林郭勒,2020-01-04,-7,-20,晴,晴,西南风,4-5,27,67,0.0,2,25
锡林郭勒,2020-01-05,-5,-17,晴,小雪,西南风,4-5,27,94,0.0,2,12
锡林郭勒,2020-01-06,-11,-23,多云,多云,西风,4-5,30,95,0.0,1,23
锡林郭勒,2020-01-07,-12,-23,多云,晴,西北风,4-5,27,88,0.8,2,25
锡林郭勒,2020-01-08,-11,-23,晴,多云,西风,4-5,25,67,0.8,2,25
锡林郭勒,2020-01-09,-9,-21,晴,晴,无持续风向,1-2,9,92,0.0,2,24
锡林郭勒,2020-01-10,-10,-25,晴,晴,无持续风向,1-2,2,84,0.0,2,25
呼伦贝尔,2020-01-04,-15,-24,晴,晴,西风,3-4,21,90,0.0,2,24
呼伦贝尔,2020-01-05,-13,-21,多云,多云,南风,1-2,7,83,0.0,1,25
呼伦贝尔,2020-01-06,-13,-22,小雪,晴,北风,3-4,19,99,0.0,2,15
呼伦贝尔,2020-01-07,-15,-23,晴,晴,西南风,1-2,2,96,0.0,2,23
呼伦贝尔,2020-01-08,-14,-24,晴,晴,西南风,1-2,3,91,0.8,1,25
呼伦贝尔,2020-01-09,-14,-27,多云,晴,西南风,1-2,6,96,0.0,2,9
呼伦贝尔,2020-01-10,-17,-27,晴,晴,西风,3-4,22,98,0.0,2,7
兴安盟,2020-01-04,-2,-11,晴,晴,西北风,3-4,14,73,0.0,2,25
兴安盟,2020-01-05,0,-12,多云,多云,西北风,3-4,16,95,0.0,2,5
兴安盟,2020-01-06,-4,-13,小雪,晴,西北风,4-5,29,82,0.0,2,24
兴安盟,2020-01-07,-5,-16,晴,晴,北风,3-4,16,69,0.0,2,25
兴安盟,2020-01-08,-5,-15,晴,多云,西北风,3-4,17,67,0.0,2,25
兴安盟,2020-01-09,-5,-15,多云,晴,西北风,3-4,17,76,0.0,2,25
兴安盟,2020-01-10,-6,-15,晴,晴,西北风,3-4,24,79,0.0,2,25
阿拉善盟,2020-01-04,5,-5,晴,小雪,东风,4-5,30,83,0.0,0,15
阿拉善盟,2020-01-05,2,-6,小雪,小雪,西北风,1-2,2,90,0.1,1,13
阿拉善盟,2020-01-06,0,-9,小雪,小雪,东风,3-4,21,79,1.7,1,24
阿拉善盟,2020-01-07,-1,-9,多云,晴,东风,1-2,4,68,0.0,1,24
阿拉善盟,2020-01-08,0,-10,晴,多云,北风,1-2,5,88,0.0,2,9
阿拉善盟,2020-01-09,0,-8,雨夹雪,小雪,西风,1-2,8,94,0.0,2,2
阿拉善盟,2020-01-10,-2,-11,小雪,大雪,南风,1-2,8,77,0.0,1,24
石家庄,2020-01-04,7,-3,晴,晴,北风,1-2,4,48,0.0,6,25
石家庄,2020-01-05,1,-3,小雪,小雪,北风,1-2,1,95,0.0,1,23
石家庄,2020-01-06,3,-2,阴,阴,北风,1-2,11,79,3.1,1,25
石家庄,2020-01-07,1,-7,多云,多云,东北风,3-4,14,53,0.0,1,25
石家庄,2020-01-08,4,-7,晴,晴,南风,1-2,11,53,0.0,2,25
石家庄,2020-01-09,3,-4,多云,阴,南风,1-2,6,71,0.0,2,25
石家庄,2020-01-10,3,-3,阴,阴,北风,1-2,2,92,0.0,1,5
保定,2020-01-04,7,-7,晴,多云,北风,1-2,2,74,0.0,4,25
保定,2020-01-05,1,-5,小雪,小雪,北风,1-2,11,97,0.0,1,17
保定,2020-01-06,4,-5,多云,多云,北风,1-2,4,66,2.6,1,25
保定,2020-01-07,2,-6,多云,晴,北风,1-2,2,58,0.0,1,25
保定,2020-01-08,5,-7,晴,晴,南风,1-2,4,53,0.0,1,25
保定,2020-01-09,3,-7,多云,多云,南风,1-2,3,68,0.0,2,25
保定,2020-01-10,3,-6,多云,多云,北风,1-2,7,63,0.0,1,16
张家口,2020-01-04,4,-9,晴,晴,东南风,1-2,9,61,0.0,3,25
张家口,2020-01-05,0,-7,小雪,小雪,东南风,1-2,4,92,0.0,1,20
张家口,2020-01-06,2,-10,多云,晴,西北风,3-4,18,78,1.8,1,24
张家口,2020-01-07,-1,-13,晴,晴,西北风,3-4,15,67,0.0,1,25
张家口,2020-01-08,-2,-12,多云,晴,东南风,1-2,5,62,0.0,1,25
张家口,2020-01-09,0,-11,多云,多云,西北风,3-4,16,79,0.0,2,25
张家口,2020-01-10,-1,-11,晴,多云,西北风,3-4,14,73,0.0,2,13
承德,2020-01-04,3,-12,晴,多云,西北风,3-4,18,77,0.0,4,25
承德,2020-01-05,1,-9,多云,小雪,西南风,3-4,13,96,0.0,2,9
承德,2020-01-06,1,-9,多云,多云,西南风,3-4,18,79,0.0,1,24
承德,2020-01-07,-2,-12,多云,晴,西南风,3-4,24,76,0.0,1,25
承德,2020-01-08,0,-13,晴,晴,西北风,3-4,15,74,0.0,2,25
承德,2020-01-09,1,-13,晴,晴,西北风,3-4,22,78,0.0,2,25
承德,2020-01-10,-3,-12,晴,晴,西北风,3-4,16,77,0.0,2,25
唐山,2020-01-04,6,-7,晴,晴,东风,1-2,9,70,0.0,6,25
唐山,2020-01-05,5,-4,多云,小雪,东风,1-2,4,97,0.0,1,2
唐山,2020-01-06,4,-5,阴,多云,西北风,1-2,3,63,0.0,1,24
唐山,2020-01-07,4,-8,晴,晴,东北风,3-4,16,56,0.0,4,25
唐山,2020-01-08,5,-10,晴,晴,北风,1-2,9,58,0.0,2,25
唐山,2020-01-09,5,-9,晴,晴,西风,1-2,1,56,0.0,2,25
唐山,2020-01-10,4,-8,晴,晴,西风,1-2,11,65,0.0,1,24
廊坊,2020-01-04,8,-5,晴,多云,东南风,1-2,2,74,0.0,3,25
廊坊,2020-01-05,4,-4,阴,小雪,东北风,1-2,8,97,0.0,1,7
廊坊,2020-01-06,5,-3,多云,多云,北风,1-2,7,53,0.0,1,24
廊坊,2020-01-07,4,-5,晴,晴,东北风,1-2,2,50,0.0,3,25
廊坊,2020-01-08,5,-6,晴,晴,西南风,1-2,3,53,0.0,1,25
廊坊,2020-01-09,4,-5,多云,多云,西南风,1-2,2,55,0.0,2,25
廊坊,2020-01-10,5,-4,阴,阴,西南风,1-2,11,70,0.0,1,20
沧州,2020-01-04,8,-4,晴,多云,北风,1-2,11,83,0.0,3,25
沧州,2020-01-05,5,-1,阴,雨夹雪,东风,1-2,7,96,0.0,1,8
沧州,2020-01-06,4,-2,阴,阴,北风,3-4,13,70,0.0,1,24
沧州,2020-01-07,3,-7,晴,晴,东北风,4-5,25,55,0.0,3,25
沧州,2020-01-08,5,-7,晴,晴,北风,3-4,17,48,0.0,1,25
沧州,2020-01-09,4,-5,多云,阴,南风,1-2,1,52,0.0,2,25
沧州,2020-01-10,3,-4,阴,阴,西风,1-2,10,88,0.0,1,7
衡水,2020-01-04,7,-3,多云,多云,东北风,1-2,4,61,0.0,1,21
衡水,2020-01-05,1,-2,阴,雨夹雪,北风,1-2,8,95,0.0,1,1
衡水,2020-01-06,3,-2,阴,多云,北风,3-4,18,61,0.0,1,24
衡水,2020-01-07,0,-5,多云,晴,北风,1-2,4,55,0.0,1,25
衡水,2020-01-08,0,-5,晴,晴,南风,1-2,9,44,0.0,1,25
衡水,2020-01-09,3,-4,晴,晴,南风,1-2,4,60,0.0,2,25
衡水,2020-01-10,2,-4,多云,阴,南风,1-2,5,92,0.0,1,6
邢台,2020-01-04,7,-2,晴,小雪,北风,1-2,10,42,0.0,0,24
邢台,2020-01-05,-1,-3,中雪,小雪,北风,1-2,3,94,0.0,1,24
邢台,2020-01-06,0,-3,阴,小雪,北风,1-2,6,66,2.2,1,25
邢台,2020-01-07,-1,-5,小雪,多云,北风,3-4,12,59,0.0,1,25
邢台,2020-01-08,1,-5,晴,多云,南风,1-2,10,45,0.0,3,25
邢台,2020-01-09,2,-4,多云,多云,南风,1-2,6,75,0.0,2,25
邢台,2020-01-10,3,-4,多云,阴,南风,1-2,1,95,0.0,1,3
邯郸,2020-01-04,7,-2,多云,雨夹雪,北风,1-2,6,40,0.0,2,25
邯郸,2020-01-05,0,-2,中雪,小雪,北风,3-4,20,91,0.0,1,24
邯郸,2020-01-06,0,-2,雨夹雪,中雪,北风,3-4,24,64,2.3,1,25
邯郸,2020-01-07,0,-7,大雪,多云,北风,4-5,29,59,2.3,1,24
邯郸,2020-01-08,0,-9,多云,多云,南风,1-2,4,47,0.0,3,25
邯郸,2020-01-09,0,-9,多云,多云,南风,1-2,9,74,0.0,2,24
邯郸,2020-01-10,0,-8,多云,阴,南风,1-2,7,95,0.0,3,1
秦皇岛,2020-01-04,5,-6,晴,多云,无持续风向,1-2,11,62,0.0,3,25
秦皇岛,2020-01-05,4,-3,阴,小雪,无持续风向,1-2,1,96,0.0,2,2
秦皇岛,2020-01-06,4,-4,雨夹雪,多云,无持续风向,1-2,4,60,0.5,1,24
秦皇岛,2020-01-07,3,-6,晴,晴,东北风,4-5,30,55,0.0,3,25
秦皇岛,2020-01-08,3,-8,晴,晴,北风,3-4,23,54,0.0,2,25
秦皇岛,2020-01-09,4,-6,晴,晴,无持续风向,1-2,2,53,0.0,2,25
秦皇岛,2020-01-10,3,-7,晴,晴,无持续风向,1-2,10,54,0.0,2,25
雄安新区,2020-01-04,7,-5,晴,多云,东北风,1-2,11,86,0.0,3,25
雄安新区,2020-01-05,2,-3,小雪,小雪,东北风,1-2,4,97,0.0,1,19
雄安新区,2020-01-06,4,-4,多云,多云,北风,1-2,7,61,0.7,1,25
雄安新区,2020-01-07,4,-7,晴,晴,东北风,1-2,9,59,0.0,3,25
雄安新区,2020-01-08,3,-7,晴,晴,东北风,1-2,1,52,0.0,1,25
雄安新区,2020-01-09,3,-6,多云,多云,西南风,1-2,10,63,0.0,2,25
雄安新区,2020-01-10,3,-7,多云,多云,东北风,1-2,1,61,0.0,1,16
太原,2020-01-04,8,-8,多云,小雪,北风,1-2,11,45,0.0,2,19
太原,2020-01-05,1,-4,小雪,阴,东风,1-2,10,92,0.0,1,24
太原,2020-01-06,2,-3,阴,阴,东北风,1-2,5,93,1.4,1,1
太原,2020-01-07,3,-6,雨夹雪,阴,东风,1-2,8,87,4.1,1,23
太原,2020-01-08,3,-8,阴,多云,东南风,1-2,9,88,0.0,3,16
太原,2020-01-09,2,-6,阴,阴,南风,3-4,12,92,0.0,2,20
太原,2020-01-10,3,-8,阴,小雪,西南风,1-2,5,94,0.0,2,2
大同,2020-01-04,3,-13,晴,晴,北风,1-2,10,71,0.0,4,25
大同,2020-01-05,0,-15,小雪,小雪,南风,1-2,4,96,1.5,1,4
大同,2020-01-06,1,-14,阴,阴,东北风,3-4,15,83,1.7,1,24
大同,2020-01-07,-2,-17,多云,晴,北风,1-2,9,77,1.0,1,25
大同,2020-01-08,-3,-17,晴,多云,东北风,1-2,7,89,0.0,1,24
大同,2020-01-09,1,-15,阴,阴,西风,1-2,5,87,0.0,2,24
大同,2020-01-10,-1,-15,阴,阴,北风,1-2,3,91,0.0,2,6
阳泉,2020-01-04,9,-4,多云,多云,东风,1-2,8,54,0.0,1,25
阳泉,2020-01-05,0,-5,小雪,小雪,东风,1-2,10,92,1.2,1,24
阳泉,2020-01-06,3,-4,多云,阴,东北风,1-2,8,92,1.6,1,7
阳泉,2020-01-07,2,-6,小雪,多云,东风,1-2,9,81,2.6,1,24
阳泉,2020-01-08,4,-4,多云,多云,南风,3-4,21,85,0.0,3,23
阳泉,2020-01-09,5,-5,阴,阴,东南风,3-4,14,89,0.0,3,22
阳泉,2020-01-10,2,-5,阴,阴,东风,3-4,12,94,0.0,1,1
晋中,2020-01-04,8,-6,多云,小雪,东风,3-4,16,51,0.0,2,16
晋中,2020-01-05,1,-3,小雪,阴,东风,1-2,7,91,1.2,1,23
晋中,2020-01-06,0,-4,阴,小雪,东北风,1-2,1,93,1.6,1,2
晋中,2020-01-07,0,-7,小雪,阴,东风,1-2,2,87,2.6,1,21
晋中,2020-01-08,3,-5,阴,多云,南风,1-2,3,85,0.0,3,20
晋中,2020-01-09,4,-5,阴,阴,东风,4-5,28,94,0.0,1,8
晋中,2020-01-10,4,-5,阴,小雪,东风,3-4,12,90,0.0,2,5
长治,2020-01-04,7,-3,多云,大雪,东南风,3-4,19,72,1.0,2,8
长治,2020-01-05,-1,-3,中雪,阴,东风,3-4,21,89,1.4,1,24
长治,2020-01-06,-1,-4,小雪,大雪,东北风,3-4,13,85,2.2,1,6
长治,2020-01-07,-1,-6,中雪,晴,东北风,3-4,12,95,1.9,1,5
长治,2020-01-08,2,-7,多云,阴,东南风,3-4,24,94,0.0,3,2
长治,2020-01-09,0,-3,阴,阴,南风,3-4,14,94,0.0,2,5
长治,2020-01-10,0,-4,多云,大雪,南风,3-4,19,97,0.0,3,1
晋城,2020-01-04,9,-1,多云,雨夹雪,东南风,1-2,7,97,1.0,2,1
晋城,2020-01-05,1,-1,雨夹雪,雨夹雪,东风,3-4,24,95,0.6,1,23
晋城,2020-01-06,0,-2,小雪,中雪,东风,1-2,2,96,2.5,1,1
晋城,2020-01-07,1,-4,小雨,多云,东风,3-4,19,96,2.1,1,1
晋城,2020-01-08,2,-3,多云,阴,东南风,1-2,5,93,0.0,3,1
晋城,2020-01-09,1,-2,阴,阴,东风,1-2,5,93,0.0,1,8
晋城,2020-01-10,5,-2,阴,雨夹雪,西南风,3-4,23,98,0.0,3,1
临汾,2020-01-04,7,0,多云,小雨,东南风,1-2,5,92,1.0,2,2
临汾,2020-01-05,4,-1,小雨,阴,东南风,1-2,5,83,1.0,1,23
临汾,2020-01-06,2,-1,小雨,雨夹雪,东风,1-2,7,94,3.8,1,2
临汾,2020-01-07,3,-2,小雨,晴,东北风,1-2,6,77,1.0,1,20
临汾,2020-01-08,4,0,阴,阴,东南风,1-2,4,93,0.0,3,1
临汾,2020-01-09,4,-2,阴,阴,东风,1-2,5,85,0.0,1,9
临汾,2020-01-10,5,0,阴,阴,东风,1-2,3,91,0.0,3,10
运城,2020-01-04,8,-3,多云,小雪,东南风,1-2,1,91,1.0,1,6
运城,2020-01-05,5,-1,小雨,雨夹雪,东风,1-2,7,92,2.0,1,20
运城,2020-01-06,3,-1,小雨,雨夹雪,东风,1-2,2,97,1.0,1,4
运城,2020-01-07,4,-2,小雨,晴,东北风,3-4,21,86,1.0,1,23
运城,2020-01-08,5,-2,阴,阴,东风,3-4,23,94,0.0,3,1
运城,2020-01-09,4,-2,阴,阴,东风,3-4,22,96,0.0,1,1
运城,2020-01-10,7,-5,阴,大雪,西风,1-2,5,99,0.0,2,4
朔州,2020-01-04,4,-9,晴,多云,东北风,1-2,11,65,0.0,3,25
朔州,2020-01-05,-1,-6,中雪,小雪,东南风,1-2,5,96,1.1,1,4
朔州,2020-01-06,0,-9,阴,多云,东北风,1-2,4,84,4.0,1,22
朔州,2020-01-07,-1,-16,多云,晴,东北风,1-2,2,88,0.9,1,17
朔州,2020-01-08,0,-11,多云,阴,东南风,1-2,4,91,0.0,3,23
朔州,2020-01-09,1,-12,阴,阴,西风,1-2,1,90,0.0,3,24
朔州,2020-01-10,0,-11,阴,小雪,西北风,1-2,7,95,0.0,1,1
忻州,2020-01-04,5,-9,多云,多云,北风,1-2,7,53,0.0,1,25
忻州,2020-01-05,0,-7,中雪,阴,东南风,1-2,10,96,0.0,1,20
忻州,2020-01-06,0,-7,阴,阴,东北风,1-2,4,81,2.0,1,15
忻州,2020-01-07,0,-10,小雪,多云,东北风,1-2,9,82,0.5,1,24
忻州,2020-01-08,2,-8,多云,阴,西南风,1-2,2,90,0.0,3,21
忻州,2020-01-09,1,-7,阴,阴,东风,3-4,20,93,0.0,2,23
忻州,2020-01-10,0,-10,阴,小雪,西风,1-2,6,97,0.0,1,2
吕梁,2020-01-04,7,-1,多云,雨夹雪,东南风,1-2,10,70,0.0,2,15
吕梁,2020-01-05,3,-3,雨夹雪,阴,东南风,1-2,11,97,1.5,1,3
吕梁,2020-01-06,3,-4,阴,小雪,东北风,1-2,9,96,1.7,1,2
吕梁,2020-01-07,4,-4,小雪,阴,东南风,1-2,3,90,5.1,1,10
吕梁,2020-01-08,3,-7,多云,多云,南风,1-2,8,91,0.0,3,11
吕梁,2020-01-09,0,-5,阴,阴,西南风,1-2,6,97,0.0,2,4
吕梁,2020-01-10,4,-6,阴,小雪,东北风,1-2,1,97,0.0,1,1
西安,2020-01-04,-7,-19,晴,晴,西风,1-2,10,93,0.0,1,24
西安,2020-01-05,-5,-16,晴,多云,西风,1-2,7,87,0.0,2,25
西安,2020-01-06,-3,-13,小雪,小雪,西南风,1-2,6,96,0.0,1,4
西安,2020-01-07,-6,-19,小雪,多云,西北风,1-2,2,95,0.0,2,20
西安,2020-01-08,-6,-19,晴,晴,西北风,1-2,8,89,0.0,2,24
西安,2020-01-09,-6,-18,晴,晴,西北风,1-2,5,84,0.0,2,25
西安,2020-01-10,-5,-18,多云,多云,西北风,1-2,8,90,0.0,2,24
咸阳,2020-01-04,5,0,阴,小雨,东北风,3-4,14,87,0.0,2,19
咸阳,2020-01-05,4,1,小雨,小雨,东北风,3-4,13,69,0.0,1,22
咸阳,2020-01-06,3,0,雨夹雪,雨夹雪,西风,3-4,16,95,1.0,1,1
咸阳,2020-01-07,8,-3,阴,阴,东风,3-4,14,89,2.7,1,24
咸阳,2020-01-08,5,-2,阴,阴,东北风,3-4,14,84,0.0,1,23
咸阳,2020-01-09,3,-2,阴,阴,东北风,1-2,3,92,0.0,1,2
咸阳,2020-01-10,4,-3,小雨,雨夹雪,西风,1-2,11,78,0.0,2,24
延安,2020-01-04,5,-8,阴,大雪,东风,3-4,22,97,0.0,2,1
延安,2020-01-05,0,-4,中雪,小雪,东南风,3-4,19,98,0.1,1,1
延安,2020-01-06,0,-6,阴,中雪,北风,3-4,18,97,1.7,1,1
延安,2020-01-07,2,-8,雨夹雪,阴,东风,1-2,7,97,1.8,1,11
延安,2020-01-08,0,-6,多云,阴,东风,1-2,2,97,0.0,2,1
延安,2020-01-09,0,-7,阴,阴,东北风,1-2,8,95,0.0,1,12
延安,2020-01-10,1,-8,阴,多云,西北风,1-2,8,89,0.0,1,23
榆林,2020-01-04,4,-9,阴,大雪,东风,1-2,8,79,0.0,2,8
榆林,2020-01-05,2,-5,小雨,小雪,东南风,3-4,24,97,1.6,1,1
榆林,2020-01-06,1,-7,阴,阴,北风,3-4,19,90,2.3,1,5
榆林,2020-01-07,-1,-11,中雪,阴,东南风,1-2,7,97,2.7,1,3
榆林,2020-01-08,0,-9,阴,阴,东南风,1-2,1,95,0.0,2,7
榆林,2020-01-09,0,-9,阴,阴,东南风,1-2,5,97,0.0,2,5
榆林,2020-01-10,-2,-9,阴,小雪,西北风,1-2,11,94,0.0,1,8
渭南,2020-01-04,4,0,小雨,雨夹雪,东北风,3-4,15,92,0.0,1,15
渭南,2020-01-05,4,0,小雨,雨夹雪,东北风,3-4,23,93,1.0,1,10
渭南,2020-01-06,3,-1,雨夹雪,暴雪,西南风,3-4,16,96,2.4,1,1
渭南,2020-01-07,6,-3,小雨,阴,东北风,1-2,9,92,2.8,1,24
渭南,2020-01-08,5,-4,阴,阴,东北风,3-4,17,90,0.0,1,25
渭南,2020-01-09,2,-4,阴,多云,东北风,1-2,4,95,0.0,1,2
渭南,2020-01-10,4,-3,小雨,大雪,西风,1-2,3,84,2.0,2,22
商洛,2020-01-04,5,0,小雨,雨夹雪,东南风,3-4,23,98,0.0,1,1
商洛,2020-01-05,3,0,小雨,雨夹雪,东风,1-2,1,97,2.0,1,8
商洛,2020-01-06,1,-1,雨夹雪,大雪,西风,1-2,11,97,1.0,1,1
商洛,2020-01-07,6,-2,小雨,阴,南风,1-2,2,98,0.0,1,1
商洛,2020-01-08,3,0,阴,阴,东南风,1-2,5,96,0.0,1,1
商洛,2020-01-09,4,-3,多云,多云,东风,1-2,1,98,0.0,1,1
商洛,2020-01-10,4,-3,小雨,雨夹雪,西风,1-2,5,92,1.9,1,21
安康,2020-01-04,8,1,小雨,小雨,东北风,1-2,3,91,1.1,1,20
安康,2020-01-05,6,4,小雨,中雨,东北风,1-2,8,96,3.0,1,7
安康,2020-01-06,7,2,小雨,小雨,北风,1-2,4,94,2.7,1,4
安康,2020-01-07,9,2,多云,阴,东北风,1-2,9,85,0.0,2,23
安康,2020-01-08,9,2,阴,阴,东北风,1-2,2,96,0.0,1,1
安康,2020-01-09,4,1,阴,阴,东北风,1-2,2,98,0.0,1,1
安康,2020-01-10,5,0,小雨,雨夹雪,东北风,1-2,1,98,0.0,1,4
汉中,2020-01-04,6,3,小雨,小雨,东风,3-4,13,92,2.2,1,16
汉中,2020-01-05,5,2,小雨,小雨,东北风,1-2,1,87,1.6,1,16
汉中,2020-01-06,6,2,小雨,小雨,西风,1-2,8,92,2.4,1,7
汉中,2020-01-07,8,1,多云,阴,东南风,1-2,5,86,0.0,2,24
汉中,2020-01-08,3,1,阴,阴,东南风,1-2,8,93,0.0,1,2
汉中,2020-01-09,4,1,阴,阴,东风,1-2,9,94,1.3,1,2
汉中,2020-01-10,3,1,小雨,小雨,南风,1-2,8,88,0.0,1,24
宝鸡,2020-01-04,5,0,阴,雨夹雪,东南风,1-2,3,95,0.0,2,1
宝鸡,2020-01-05,3,0,小雨,小雨,北风,1-2,4,71,2.0,1,18
宝鸡,2020-01-06,4,0,小雨,雨夹雪,西北风,1-2,11,91,2.5,2,5
宝鸡,2020-01-07,8,-1,晴,阴,西风,1-2,4,94,0.0,3,8
宝鸡,2020-01-08,2,-2,阴,阴,东风,1-2,9,97,0.9,1,1
宝鸡,2020-01-09,2,0,阴,阴,东风,1-2,3,97,0.0,1,1
宝鸡,2020-01-10,5,-1,小雨,雨夹雪,西北风,1-2,7,78,0.0,3,24
铜川,2020-01-04,5,0,阴,雨夹雪,东风,3-4,16,94,0.0,2,7
铜川,2020-01-05,4,0,雨夹雪,小雨,东北风,1-2,6,95,0.0,1,7
铜川,2020-01-06,2,0,雨夹雪,雨夹雪,东北风,1-2,8,97,2.0,1,1
铜川,2020-01-07,6,-2,小雨,阴,东南风,1-2,2,93,3.9,1,14
铜川,2020-01-08,3,-3,阴,阴,东风,3-4,24,92,0.0,1,5
铜川,2020-01-09,2,-3,阴,多云,东风,1-2,11,96,0.0,1,1
铜川,2020-01-10,3,-3,阴,多云,南风,1-2,2,89,0.0,3,20
杨凌,2020-01-04,4,0,阴,雨夹雪,东风,1-2,7,90,0.0,2,16
杨凌,2020-01-05,2,0,小雨,雨夹雪,西北风,1-2,9,61,0.0,1,23
杨凌,2020-01-06,3,0,雨夹雪,雨夹雪,西北风,1-2,1,88,1.0,1,7
杨凌,2020-01-07,9,-3,多云,阴,东北风,1-2,11,91,2.3,1,23
杨凌,2020-01-08,4,-2,阴,阴,东风,1-2,4,93,0.0,1,3
杨凌,2020-01-09,4,-2,阴,阴,东风,1-2,1,95,0.0,1,1
杨凌,2020-01-10,2,-2,雨夹雪,中雪,西风,1-2,3,77,0.0,3,24
济南,2020-01-04,9,1,晴,多云,东北风,1-2,6,54,0.0,3,21
济南,2020-01-05,4,1,小雨,小雨,东北风,1-2,2,91,0.0,1,24
济南,2020-01-06,4,2,小雨,雨夹雪,东北风,3-4,18,87,5.1,1,21
济南,2020-01-07,2,-9,小雪,小雪,东北风,4-5,26,71,3.4,1,24
济南,2020-01-08,2,-11,晴,多云,东北风,3-4,21,47,0.0,2,25
济南,2020-01-09,1,-9,多云,多云,东风,1-2,11,48,0.0,2,25
济南,2020-01-10,1,-7,多云,中雪,东风,3-4,24,82,0.0,1,10
青岛,2020-01-04,7,2,晴,多云,北风,3-4,21,74,0.0,3,25
青岛,2020-01-05,7,4,小雨,小雨,东南风,3-4,20,90,0.0,1,23
青岛,2020-01-06,7,4,小雨,小雨,东北风,4-5,25,87,3.7,1,19
青岛,2020-01-07,6,0,小雨,雨夹雪,北风,5-6,42,76,4.2,1,24
青岛,2020-01-08,2,-2,晴,多云,北风,6-7,46,66,0.0,3,25
青岛,2020-01-09,2,-2,多云,多云,北风,3-4,19,58,0.0,3,25
青岛,2020-01-10,3,-1,多云,多云,北风,3-4,16,85,0.0,1,12
淄博,2020-01-04,9,-2,多云,多云,北风,1-2,5,57,0.0,2,15
淄博,2020-01-05,5,1,小雨,小雨,北风,1-2,3,93,0.0,1,24
淄博,2020-01-06,5,-1,小雨,小雨,北风,1-2,9,91,5.1,1,17
淄博,2020-01-07,0,-6,小雪,小雪,东北风,4-5,31,68,1.0,1,24
淄博,2020-01-08,-2,-11,多云,多云,北风,3-4,20,55,0.0,1,25
淄博,2020-01-09,-3,-8,多云,多云,南风,1-2,4,48,0.0,2,24
淄博,2020-01-10,0,-6,多云,多云,南风,1-2,9,85,0.0,1,6
德州,2020-01-04,8,-3,晴,多云,北风,1-2,5,69,0.0,4,23
德州,2020-01-05,3,0,雨夹雪,雨夹雪,北风,1-2,1,94,0.0,1,18
德州,2020-01-06,4,-1,阴,雨夹雪,北风,1-2,1,76,1.0,1,25
德州,2020-01-07,2,-4,阴,晴,北风,1-2,4,57,3.8,1,25
德州,2020-01-08,5,-5,晴,多云,东北风,1-2,3,46,0.0,1,25
德州,2020-01-09,2,-5,多云,多云,南风,1-2,9,52,0.0,2,25
德州,2020-01-10,2,-4,多云,多云,北风,1-2,10,93,0.0,1,5
烟台,2020-01-04,6,-1,晴,多云,西北风,3-4,15,62,0.0,3,25
烟台,2020-01-05,6,0,多云,小雨,东南风,3-4,16,87,0.0,2,24
烟台,2020-01-06,6,4,小雨,雨夹雪,东风,4-5,32,88,5.1,1,25
烟台,2020-01-07,4,-1,小雪,小雪,北风,4-5,29,76,16.5,1,24
烟台,2020-01-08,1,-1,晴,晴,北风,3-4,21,66,0.0,1,25
烟台,2020-01-09,3,-3,多云,多云,北风,3-4,14,58,0.0,3,25
烟台,2020-01-10,5,-2,多云,多云,北风,3-4,12,85,0.0,1,14
潍坊,2020-01-04,8,-3,多云,阴,北风,1-2,9,77,0.0,2,22
潍坊,2020-01-05,5,0,小雨,小雨,东南风,1-2,6,95,0.0,1,24
潍坊,2020-01-06,6,3,小雨,小雨,东北风,1-2,7,93,5.1,1,20
潍坊,2020-01-07,2,-1,中雨,雨夹雪,北风,3-4,21,78,6.3,1,24
潍坊,2020-01-08,1,-10,晴,多云,北风,3-4,13,68,0.0,1,24
